## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR3740301.sorted.bam --OUTPUT SRR3740301_mark_dup.bam --METRICS_FILE SRR3740301_mark_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 14 10:10:10 BST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	223201	9673197	0	1576717	49319	64721	0	0.009135	719649730

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9543986	9543986
2.0	1.986648	64259	64259
3.0	2.960123	231	231
4.0	3.920601	0	0
5.0	4.868255	0	0
6.0	5.803256	0	0
7.0	6.725773	0	0
8.0	7.635973	0	0
9.0	8.534021	0	0
10.0	9.420078	0	0
11.0	10.294305	0	0
12.0	11.156859	0	0
13.0	12.007897	0	0
14.0	12.847573	0	0
15.0	13.676037	0	0
16.0	14.49344	0	0
17.0	15.299929	0	0
18.0	16.095651	0	0
19.0	16.880748	0	0
20.0	17.655363	0	0
21.0	18.419636	0	0
22.0	19.173704	0	0
23.0	19.917705	0	0
24.0	20.651771	0	0
25.0	21.376037	0	0
26.0	22.090633	0	0
27.0	22.795687	0	0
28.0	23.491329	0	0
29.0	24.177682	0	0
30.0	24.854871	0	0
31.0	25.523019	0	0
32.0	26.182245	0	0
33.0	26.832671	0	0
34.0	27.474411	0	0
35.0	28.107584	0	0
36.0	28.732303	0	0
37.0	29.348681	0	0
38.0	29.956829	0	0
39.0	30.556857	0	0
40.0	31.148874	0	0
41.0	31.732987	0	0
42.0	32.309301	0	0
43.0	32.87792	0	0
44.0	33.438947	0	0
45.0	33.992483	0	0
46.0	34.538629	0	0
47.0	35.077483	0	0
48.0	35.609143	0	0
49.0	36.133704	0	0
50.0	36.651261	0	0
51.0	37.161908	0	0
52.0	37.665737	0	0
53.0	38.162839	0	0
54.0	38.653304	0	0
55.0	39.137221	0	0
56.0	39.614676	0	0
57.0	40.085757	0	0
58.0	40.550548	0	0
59.0	41.009133	0	0
60.0	41.461595	0	0
61.0	41.908017	0	0
62.0	42.348478	0	0
63.0	42.783058	0	0
64.0	43.211835	0	0
65.0	43.634888	0	0
66.0	44.052292	0	0
67.0	44.464124	0	0
68.0	44.870457	0	0
69.0	45.271364	0	0
70.0	45.666919	0	0
71.0	46.057193	0	0
72.0	46.442255	0	0
73.0	46.822177	0	0
74.0	47.197026	0	0
75.0	47.56687	0	0
76.0	47.931776	0	0
77.0	48.29181	0	0
78.0	48.647037	0	0
79.0	48.997521	0	0
80.0	49.343326	0	0
81.0	49.684514	0	0
82.0	50.021146	0	0
83.0	50.353283	0	0
84.0	50.680986	0	0
85.0	51.004314	0	0
86.0	51.323325	0	0
87.0	51.638076	0	0
88.0	51.948625	0	0
89.0	52.255028	0	0
90.0	52.55734	0	0
91.0	52.855615	0	0
92.0	53.149908	0	0
93.0	53.440272	0	0
94.0	53.726759	0	0
95.0	54.00942	0	0
96.0	54.288308	0	0
97.0	54.563472	0	0
98.0	54.834963	0	0
99.0	55.102828	0	0
100.0	55.367117	0	0

