## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR3740299.sorted.bam --OUTPUT SRR3740299_mark_dup.bam --METRICS_FILE SRR3740299_mark_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 14 10:03:59 BST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	11407	417820	0	80997	188	421	0	0.001216	207192713

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	416979	416979
2.0	1.997985	419	419
3.0	2.99396	1	1
4.0	3.987929	0	0
5.0	4.979895	0	0
6.0	5.969863	0	0
7.0	6.957836	0	0
8.0	7.943819	0	0
9.0	8.927816	0	0
10.0	9.909831	0	0
11.0	10.889867	0	0
12.0	11.867929	0	0
13.0	12.84402	0	0
14.0	13.818146	0	0
15.0	14.790308	0	0
16.0	15.760513	0	0
17.0	16.728762	0	0
18.0	17.695061	0	0
19.0	18.659414	0	0
20.0	19.621824	0	0
21.0	20.582295	0	0
22.0	21.540831	0	0
23.0	22.497436	0	0
24.0	23.452114	0	0
25.0	24.404868	0	0
26.0	25.355704	0	0
27.0	26.304623	0	0
28.0	27.251632	0	0
29.0	28.196732	0	0
30.0	29.139928	0	0
31.0	30.081225	0	0
32.0	31.020625	0	0
33.0	31.958132	0	0
34.0	32.893751	0	0
35.0	33.827485	0	0
36.0	34.759338	0	0
37.0	35.689314	0	0
38.0	36.617416	0	0
39.0	37.543649	0	0
40.0	38.468015	0	0
41.0	39.39052	0	0
42.0	40.311166	0	0
43.0	41.229957	0	0
44.0	42.146898	0	0
45.0	43.061991	0	0
46.0	43.975241	0	0
47.0	44.886651	0	0
48.0	45.796224	0	0
49.0	46.703966	0	0
50.0	47.609879	0	0
51.0	48.513966	0	0
52.0	49.416233	0	0
53.0	50.316682	0	0
54.0	51.215316	0	0
55.0	52.112141	0	0
56.0	53.007159	0	0
57.0	53.900373	0	0
58.0	54.791789	0	0
59.0	55.681408	0	0
60.0	56.569235	0	0
61.0	57.455274	0	0
62.0	58.339528	0	0
63.0	59.222	0	0
64.0	60.102695	0	0
65.0	60.981615	0	0
66.0	61.858765	0	0
67.0	62.734148	0	0
68.0	63.607767	0	0
69.0	64.479626	0	0
70.0	65.349729	0	0
71.0	66.218079	0	0
72.0	67.08468	0	0
73.0	67.949535	0	0
74.0	68.812648	0	0
75.0	69.674021	0	0
76.0	70.53366	0	0
77.0	71.391567	0	0
78.0	72.247745	0	0
79.0	73.102199	0	0
80.0	73.954931	0	0
81.0	74.805946	0	0
82.0	75.655246	0	0
83.0	76.502835	0	0
84.0	77.348717	0	0
85.0	78.192894	0	0
86.0	79.035371	0	0
87.0	79.876151	0	0
88.0	80.715237	0	0
89.0	81.552632	0	0
90.0	82.388341	0	0
91.0	83.222366	0	0
92.0	84.054711	0	0
93.0	84.885379	0	0
94.0	85.714373	0	0
95.0	86.541698	0	0
96.0	87.367356	0	0
97.0	88.19135	0	0
98.0	89.013685	0	0
99.0	89.834363	0	0
100.0	90.653387	0	0

