## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/seqs/trimmed/SRR3740274.sorted.bam --OUTPUT data/seqs/trimmed/SRR3740274_marked_duplicates.bam --METRICS_FILE data/seqs/trimmed/SRR3740274_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 03 17:49:21 BST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	268748	9260727	0	1851148	55347	69206	0	0.010312	616516378

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9122540	9122540
2.0	1.985091	68757	68757
3.0	2.955496	223	223
4.0	3.911433	1	1
5.0	4.853118	0	0
6.0	5.780764	0	0
7.0	6.69458	0	0
8.0	7.594772	0	0
9.0	8.481543	0	0
10.0	9.355093	0	0
11.0	10.21562	0	0
12.0	11.063317	0	0
13.0	11.898376	0	0
14.0	12.720986	0	0
15.0	13.531331	0	0
16.0	14.329595	0	0
17.0	15.115958	0	0
18.0	15.890597	0	0
19.0	16.653687	0	0
20.0	17.405401	0	0
21.0	18.145907	0	0
22.0	18.875373	0	0
23.0	19.593964	0	0
24.0	20.301842	0	0
25.0	20.999166	0	0
26.0	21.686093	0	0
27.0	22.362779	0	0
28.0	23.029377	0	0
29.0	23.686037	0	0
30.0	24.332906	0	0
31.0	24.970132	0	0
32.0	25.597857	0	0
33.0	26.216224	0	0
34.0	26.825371	0	0
35.0	27.425437	0	0
36.0	28.016557	0	0
37.0	28.598863	0	0
38.0	29.172488	0	0
39.0	29.737562	0	0
40.0	30.29421	0	0
41.0	30.84256	0	0
42.0	31.382734	0	0
43.0	31.914855	0	0
44.0	32.439043	0	0
45.0	32.955415	0	0
46.0	33.46409	0	0
47.0	33.96518	0	0
48.0	34.4588	0	0
49.0	34.945061	0	0
50.0	35.424072	0	0
51.0	35.895941	0	0
52.0	36.360776	0	0
53.0	36.81868	0	0
54.0	37.269758	0	0
55.0	37.71411	0	0
56.0	38.151838	0	0
57.0	38.58304	0	0
58.0	39.007813	0	0
59.0	39.426253	0	0
60.0	39.838455	0	0
61.0	40.244511	0	0
62.0	40.644514	0	0
63.0	41.038553	0	0
64.0	41.426717	0	0
65.0	41.809094	0	0
66.0	42.185771	0	0
67.0	42.556831	0	0
68.0	42.92236	0	0
69.0	43.282439	0	0
70.0	43.63715	0	0
71.0	43.986572	0	0
72.0	44.330785	0	0
73.0	44.669866	0	0
74.0	45.003892	0	0
75.0	45.332937	0	0
76.0	45.657078	0	0
77.0	45.976385	0	0
78.0	46.290932	0	0
79.0	46.60079	0	0
80.0	46.906028	0	0
81.0	47.206715	0	0
82.0	47.50292	0	0
83.0	47.794708	0	0
84.0	48.082146	0	0
85.0	48.365299	0	0
86.0	48.64423	0	0
87.0	48.919003	0	0
88.0	49.189679	0	0
89.0	49.45632	0	0
90.0	49.718986	0	0
91.0	49.977735	0	0
92.0	50.232627	0	0
93.0	50.483719	0	0
94.0	50.731067	0	0
95.0	50.974727	0	0
96.0	51.214755	0	0
97.0	51.451204	0	0
98.0	51.684129	0	0
99.0	51.91358	0	0
100.0	52.139611	0	0

